name,reviews_count,review_text,star_rating,date,Client_URL
Godwin Peter,1,They resolved it as soon as possible,5,"Nov 10, 2025",https://www.trustpilot.com/review/flutterwave.com?page=2
Paul Simire,1,I'm new to the app and I had some issues with them but they were very professional enough to attend to my needs. But they just have to fix the issues of dollar rate. The conversion is lesser than the official rate.I highly recommend them.,5,"Nov 10, 2025",https://www.trustpilot.com/review/flutterwave.com?page=2
Auwal Muhammad,1,"I recently had an issue with my Flutterwave account and I must say, their customer support team is top-notch! They were very patient and understanding, and walked me through the process of resolving the issue.From the initial response to the final resolution, the team was prompt and professional. They provided clear instructions and followed up regularly to ensure that the issue was resolved.I was impressed by their willingness to listen and their commitment to finding a solution. The integration team was also very helpful and responsive, and they worked with my developer to resolve the issue.Overall, I'm satisfied with the experience and appreciate the efforts of the Flutterwave team. They're a great example of excellent customer service.",5,"Nov 9, 2025",https://www.trustpilot.com/review/flutterwave.com?page=2
Allen Raymond,1,Fast response,4,"Nov 9, 2025",https://www.trustpilot.com/review/flutterwave.com?page=2
Nkemjika Maureen,1,"I was debited twice for an appointment booking without an appointment letter,all thanks 👍 to the great team of flutter wave to ensure I get back my fund. Much thanks to Solomon.",5,"Nov 7, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Prosperchidiebere Nwokoji,1,Nice app but am having difficulty in linking my flutterwave account with my PayPal account,4,"Nov 6, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Candice Woodman,1,"Wow, awesome service from start to finish. Thank you Flutterwave for assisting me. All staff that assisted me was so friendly and helpful. Also thank you to Ifeanyi, amazing service!!!",5,"Nov 6, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Eunice Olaoluwa Ayoola,1,"What a good customer service! I was thinking it will take ages for them to reply because I sent a message at midnight but I was surprised. The response was fast and I liked it, I really liked it. I got support and the issue was resolved. Thanks Flutterwave",5,"Nov 6, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Kimanga,1,The quick response and the engagement of the team in wanting to support a new client-me to onboard. The efficiency and clarity expressed is by far exceptional. Thank you keep it up,4,"Nov 4, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Tomilola,1,My experience with Flutterwave was excellent. The support team showed great understanding and professionalism during my verification process. I’m very satisfied with their service,4,"Nov 4, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Utibe Sam,1,"Best customer service, timely response to customer's complaints and follow up to know if customer's complaints has been resolved, it was just so good the experience I had with Flatterwave. Service delivery is top notch. ✅",5,"Nov 4, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Prince A,2,I’m really impressed with Flutterwave’s service. Their support team — especially Ngozi — was professional and helpful throughout the process of activating international payments. My store is now live and successfully processing USD transactions smoothly. Great experience overall!Solvexa Smart Hub,5,"Nov 3, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
G-CLASS GLOBAL RESOURCES,4,It was very nice receiving payment through flutterwave.,5,"Oct 30, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Drill point,1,Best cutomer service ive ever had trust me .. its all about patience,5,"Oct 28, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Uzoma Bailey Ayogu,6,The CEO himself helped raise the issue to compliance and we got it resolved in record time. The fact he cared so deeply about us and our volume made it clear that this is the company I want to bank and grow with,5,"Oct 27, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Idowu Ajayi,1,High response time.The customer service officers attended to me in a highly professional and respectful manner. Flutterwave is the best in terms of promptly resolving issues,5,"Updated Nov 10, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Samuel Mbugua,1,just great customer services. and well articulated decision making. kudos flutterwave,5,"Oct 27, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
kevin ronald,1,Awesome.its way better than paystack,5,"Oct 25, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Tochukwu Okoh,1,The responses l got and the professionalism were fantastic.,5,"Oct 24, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Abubakar Ibrahim Aruwa,2,,5,"Oct 24, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Pazy Monet,2,"My experiences with flutterwave had being nice so far , gotten an easy business payment integration all set without stress thanks to Flutterwave, Also their responses to emails and messages are very fast and issues solving is topnotch.... Kudos to the team",5,"Oct 24, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Vin,1,I'm still yet to believe what I experienced and called it to be going beyond limits to satisfy the masses with a flash approach and no stress. I got a mail from Flutterwave customer support; Folakemi as identified to me that I should send another account details of mine to be able to receive my refunds I was expecting few days ago since the primary account for the refund cannot process the payment. Folakemi kept me updated with a friendly-like message making me to worry less with no stress till I received the funds swiftly under 24hrs while I was expecting it should be two to three  market days. MUCH LOVE Folakemi,5,"Oct 22, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Lasisi Nafisat,2,It was great using Flutterwave and it has been very helpful for me since have been using it.Thanks.,2,"Oct 21, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Bisiriyu Bilikis Agboola,1,Their customers care relationship,5,"Oct 20, 2025",https://www.trustpilot.com/review/flutterwave.com?page=3
Adjejevwe Tivere,1,I will say am satisfied with the timely response and direct address to the problem,4,"Oct 19, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Dushi Apps,1,"Very supportive team.  Available and open to support. So far I appreciate the sandbox, can't wait to go live.",5,"Oct 18, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Fideal,2,Very good experience. Caring team.,5,"Oct 16, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Dami Jegz,1,Honestly the support team are just do supportive 😂almost as fast as flash lightning speed reply 🙂 and reliable assistance to help resolve issues 😌👌,5,"Oct 16, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Abitegeka Ivan,1,,5,"Oct 16, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Jr Thomas Fred Lungu,2,"Flutterwave Team was extremely polite, calm and hamble, they did take long to resolve my issue but it was finally resolved and i am deeply happy",5,"Oct 15, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Elkanah Jonathan,2,grate you guys are amazing,5,"Oct 11, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Augustin Ruhimbaza,2,A very good platform for money depositing and withdrawing.I'll recomand it to everyone,5,"Oct 7, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Olawunmi,1,The site is very good with 100 percent accuracy and transparency in serving customers right.,5,"Oct 7, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Tunde Adedeji,1,"Prompt response to any complaints.Flutterwave is blessed with very good and experienced staff.They say, the first impression last longer. My first transaction with the company was a good as being beautiful.",5,"Oct 5, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Ogechi,1,Flutterwave is one of the best for international payments. Making transactions and workflows easy,5,"Oct 5, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
E. Francis Okoye,14,"On behalf of my company (Alvonbot Limited) I can proudly recommend Flutterwave because Flutterwave is not just a financial management institution but it's a company that really offers a services with a full proper regulatory check to make sure that you really meet up to standard before offering you services.I can simply say that there security check is topnotch and with this, Flutterwave stands out to be a financial institution that worth using as a payment gateway.",4,"Oct 4, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Josiah Igbi,1,"Response from customer care was swift, and the customer care rep was also empathetic.",5,"Oct 4, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Epimack Chami,1,"I really appreciate Flutterwave — the platform is smooth and easy to use, and it supports many payment methods. It has been very helpful.One improvement that would make it even better is to ensure Vodacom (M-Pesa) works reliably in Tanzania. Since many people here use Vodacom, having it fully supported would make Flutterwave even more powerful and convenient.Thank you for the great service so far — looking forward to this addition.",4,"Oct 3, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Firstsamsung Phone,1,Nice to be here. It's my first time using this platform though.,5,"Oct 3, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Freda Ozobiane,1,"Exceptional customer service,My issues was promptly resolved, I'm impressed",5,"Oct 2, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Ola Damilola,1,I like using flutter waveIt just the slow response time,5,"Oct 1, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Blessing Chuks,1,My first time using flutterwave but I must confess I love your security system very tight so this made me trust and believe that my money is save with fluterwave,5,"Oct 1, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Adenihun Abdul-Alim,1,What a great platform. so seamless,5,"Sep 30, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
Chinyere Euphemia,1,It gives me joy to recommend flutter wave to my friends and they happy about.,5,"Sep 30, 2025",https://www.trustpilot.com/review/flutterwave.com?page=4
isaya kimario,1,"while not being solved my problem in a literal sense (making possible payouts to small solo entrepreneur to Tanzania), it was great to have been taken serious by the platform.In a world where attention to lowly startup builders by large tech companies tend to be scarce, having a human being specifically looking out to call you to address a particular problem feels like an entity with serious commitments to the well being of its customers. (Hell! I wasn't even a formal customer.)I recommend this to anyone looking for a decent online payment operations. This people know what they are doing.",4,"Sep 28, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
Ally Beverly,1,CoochieCleaanNigeria,4,"Sep 28, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
a ottun,2,I will recommend this app to anyone that wants to make transfer from one country to another. The whole Flutterwave Team is ever ready to make sure that the customer is well satisfied. They work round the clock to make sure that all transactions are completed no matter the challenges that may come up.,5,"Sep 26, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
Osokoya Oluwagbemiga,1,Timely response,5,"Sep 25, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
Jessica,1,I give flutterwave 5 stars. Just an amazing service and staff.,5,"Sep 25, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
Amira Z.umar,1,"Flutterwave is very easy to use, you are so good thank you so much.",5,"Sep 25, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
Wendy Plus,1,The team made a though journey to be easy.  My problem was solved timely,5,"Sep 22, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
Consumer,1,Very good app I love it,5,"Sep 22, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
Omeye Job,2,"Flutterwave is fantastic, the workers takes care of issues, sort out problems,helps make things easier, I enjoy using flutterwave.",1,"Sep 21, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
abdullah Abdussattar,1,Flutter wave is a globally international payment app and make business easyIt offers fast and instant payment,5,"Sep 21, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
AfriMarket Online Hub,1,Flutterwave staff are always very proactive. They helped us sort out issues with our payment system really quickly. There’s always someone there to respond round the clock. Happy with the service received.,5,"Sep 20, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
Chukwunenyelight Obizue,1,Just found about flutter wave new but what I'm seeing looks like real deal,5,"Sep 19, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
Spectrum Musics,1,Super comfortable and convenient to use flutterwaveThanks for a swift and enjoyable customer service experienceCheers!🥂,5,"Sep 19, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
Muhammad Mahi Yusuf,1,They have the best customer service support I really enjoyed their timely response,5,"Sep 18, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
Kingsley Nnadi,1,My first experience with flutter wave was wonderful. It was a seamless transaction... Please keep it up.Nnadi.,5,"Sep 12, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
uzzle Muncuster,2,"Fast response, and generous at solving your issue in time",5,"Sep 11, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
Cend Studios,1,The very best you can find in Nigeria and most parts of Africa,5,"Sep 11, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
Kiyemba Nathan,1,I strongly commend you for the services. Flutterwave is a reliable platform.,5,"Sep 11, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
christian ekam,3,"I was amazing, using the app for international transactions with a low cost rate, I was surprised, is Amazing App",5,"Sep 10, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
Omoke Shedrack,1,wonderfull but i hope you guys keep communication and respone time fast. keep getting better.,4,"Sep 10, 2025",https://www.trustpilot.com/review/flutterwave.com?page=5
Isioma Ibemesi,5,"Updated Review & ApologyFor review dropped on the 10/09/2026I would like to sincerely apologise for my earlier review regarding Jumia’s customer service and refund process. That review was written based on incorrect information that was provided to me at the time, which led to a misunderstanding of the situation.After further clarification, I acknowledge that my initial claims did not fully reflect the facts, and for that, I take responsibility. I regret any inconvenience or misrepresentation this may have caused Jumia or other customers who read my review.I appreciate the clarification received and felt it was important to correct the record. Thank you.",5,3 hours ago,https://www.trustpilot.com/review/jumia.com.ng?page=1
Lily,2,I bought a phone off this website the last time I visited Nigeria and it's been working to date.I really appreciate the work you guys do and promise to come back.,3,"Dec 29, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
Fatima Anas,1,"I have been shopping with Jumia for over 5 years now, I never had any issues with my order, the product are high quality and what I ordered but thier staff are very rude and mannerless, the riders are also rude, I ordered for a washing machine and called the pickup station to ask about their pickup opening days and time; this woman insulted the hell out of me and later blocked me, this is very unacceptable of Jumia, I reported to customer care but they don’t seem to be bothered about it",3,"Dec 26, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
Williams,2,I ordered an item a different item entirely was sent to me and an irresistible employee is calling me to tell me rubbish without apologies. And dropping call while we speak where are all this positive reviews coming from? It must be a paid review iOS AppStore should look into this reviews critically they must all be fake reviews because this happened to me 10 years ago and still happened again and inferior products were sent to me in one of my order 1 year ago i threw everything because i dint want any further terrible and terrifying experience again. I forgot my money and avoided them. I thought they would have changed that’s why I came and tried again this time around and i was once more 900% disappointed this is disgraceful and a shame.,1,"Dec 11, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
Victor Iwegbu,1,"I have been using Jumia Nigeria for some time, I have had bitter-sweet experiences. First, I would say they are fast in delivery compared to their counterpart, and they are often reliable with wide range of goods at competitive prices. However, my drawback is the duration it takes to get your money back in a case of charge back or damaged goods, and their customer care takes like forever to respond.Overall it's an average online mall that can do better especially in CRM.",3,"Nov 22, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
LOGICMIND,1,"I honestly don’t understand how a company as big as Jumia can operate with such terrible customer service. I came to pick up my order today and what I met was pure frustration. The crowd was unbelievable — people were everywhere, waiting and standing with no real system in place.What shocked me the most was the complete lack of staff to attend to the growing number of customers. I have been here for over 2 hours, and they haven’t even reached the 35th person on the list. Meanwhile, the number they gave me was 133. At this rate, I probably won’t even be attended to today.To make things worse, my phone is dead, so I can't even show them my tracking ID — and there’s no support or arrangement for situations like this. No charging spot, no backup check system, nothing.This level of disorganization is embarrassing for a company that claims to be one of the biggest e-commerce platforms. Jumia seriously needs to fix their pickup centers, hire more staff, and respect customers’ time. Right now, this experience is nothing but stress, disappointment, and wasted hours. I’m highly dissatisfied.",1,"Nov 18, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
Peter Joy,1,"I had a good experience shopping on Jumia. My order arrived on time and the product matched the description. The packaging was good, and the seller communicated well. I’m satisfied with the service and will shop again.",1,"Nov 15, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
Isioma Ibemesi,1,"1-Star Review: “Terrible Customer Service and Unresolved Refund Issue”I am extremely disappointed with Jumia’s service. I placed an order for Clearessence Beautifying Lotion on September 10, 2025, and was later informed that the product was out of stock. I was assured multiple times that my money would be refunded—first within 3–7 working days, then 15 working days, and later I was promised a refund within 24 hours.Despite all these promises, as of today, I still haven’t received my refund. Each time I contact customer service, I get the same scripted responses with no real action taken. It’s frustrating and disappointing that such a large company handles customer funds and trust so carelessly.I will think twice before shopping on Jumia again and advise others to be cautious—especially when it comes to refunds and customer service reliability. A company’s credibility lies in how it treats its customers, and sadly, Jumia has failed in this regard.",1,"Nov 6, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
Ogazi Trivian,1,"1-Star Review: “Terrible Customer Service and Unresolved Refund Issue”I am extremely disappointed with Jumia’s service. I placed an order for Clearessence Beautifying Lotion on September 10, 2025, and was later informed that the product was out of stock. I was assured multiple times that my money would be refunded—first within 3–7 working days, then 15 working days, and later I was promised a refund within 24 hours.Despite all these promises, as of today, I still haven’t received my refund. Each time I contact customer service, I get the same scripted responses with no real action taken. It’s frustrating and disappointing that such a large company handles customer funds and trust so carelessly.I will think twice before shopping on Jumia again and advise others to be cautious—especially when it comes to refunds and customer service reliability. A company’s credibility lies in how it treats its customers, and sadly, Jumia has failed in this regard.",1,"Nov 6, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
Faith,1,Giving different things from what is ordered,1,"Oct 30, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
Jones Cosmos,3,"Jumia is gradually going down the scale. Fake and deceptive products all over the website. You pay for an item, they will send you a toy.",1,"Aug 22, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
Olusola,3,"THE MOST USELESS, INCOMPETENT, IRRESPONSIBLE COMPANY I HAVE EVER COME ACROSS IN MY ENTIRE LIFE!!THEY SOLD A DEFECTIVE, USED PHONE TO ME, I RETURNED IT SINCE 1 MONTH AGO, AND UP TILL NOW THEY HAVE REFUSED TO REFUND ME!!!#380,000 is no joke for God’s sake!!!!",1,"Jul 26, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
Kenny,1,"3-4 days for delivery from lagos to Aba... It's been 7 days nothing, no tracker update. This is diabolical",1,"Jul 12, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
Beautiful People,1,Their customer service is the poorest I’ve ever had to deal with. Very slow to respond and if they do it’s incredibly subpar. Would not recommend ordering from them because it’s not worth the hassle.,1,"Jun 20, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
Ese Rhema,1,I have order a ton of items from jumia even the phone I'm using currently and it's really good their products are durable too and they also have a return policy they're on promo now you should maybe order something,5,"Jun 7, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
Paul Hill,1,They're so poor......late delivery... Lagos to ijebu ode delivery shouldn't be more than 2-3 days but this stupid jumia you have to wait for more than 10 days Wtf brrrr,1,"May 9, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
FIDELIA ESHAREFASA,7,"Took almost 2 months to wait for a shoe and then after delaying it past the stated delivery date, one day they just cancelled the order, stating that they called my line and I didn't pick. Imagine! I had no missed call, and not only that, for a shoe we had waited so long for, past the delivery date,  would it not be fair for them to do all they can to reach me if they had any issues with delivery?Jumia lied - instead of them to say they don't have the shoe, they lied that delivery was cancelled.Hogwash!",1,"Apr 11, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
James Josking,1,It takes forever to deliver product I do not recommend,1,"Mar 10, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
Bisola Johnson,2,Jumia is a very useless platform to shop. We need to tag EFCC because they are scamming Nigerians. Advertising products they don't have to collect money and refuses to refund.This is really sad. Nigeria government should begin to regulate these platforms. Jumia do not deserve any star. The worker are trained to lie. They are lying machines.,1,"Feb 28, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
Clem Elijah,1,"If there's a way to give zero star, I would gladly do. This 1 star I'm giving is really Hurting me inside.I ordered a power bank of 55000 capacity on 2nd of February, today is 18th and I'm yet to receive my product. They stopped responding to my complaint after several Promises. I reached out to them through phone call and all they could say is that the delivery Agent had a system breakdown.. what!!!!? So it's only 1 delivery Agent they have?To make matters more disgusting, I requested to go pick up my Goods myself, did you know that this people were busy telling me that they can't refund the delivery fee I paid , like, I never asked for it and they said lt like 4 times.Ordinary power bank from lagos to Abuja, 20days?? HaaaaThey still told me today (18th of February) that I should wait like extra 72hrs . That means if I order anything outside Nigeria through them, it will take like 6Months.Don't waste your time on Jumia ❌I'm closing my account immediately.",1,"Feb 18, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=1
david agu,1,"Worse platform for sellers/vendors, too much seler registration procedures and charges forcing sellers to sell for ridiculous high prices to ensure to cover jumia charges.Worse customer service for seller.My advice to seller, take your product elsewhere.",1,"Feb 18, 2025",https://www.trustpilot.com/review/jumia.com.ng?page=2
